Country,Year,Population requiring PC for STH PreSAC,Number of PreSAC targeted,Reported number of PreSAC treated,Drug used PreSAC,Programme coverage PreSAC,National coverage PreSAC,Population requiring PC for STH SAC,Number of SAC targeted,Reported number of SAC treated,Drug used SAC,Programme coverage SAC,National coverage SAC
Bhutan,2003,57458.00,,,,,,152214.00,,124529.00,Alb,,0.82
Democratic People's Republic of Korea,2003,1434320.00,,,,,,3990739.00,,14180.00,Mbd,,0.00
India,2003,101760783.00,,765302.00,Dec+Alb,,0.01,243893884.00,,2806108.00,Dec+Alb,,0.01
Indonesia,2003,16717170.00,,31752.00,Dec+Alb,,0.00,41182307.00,,120653.00,Dec+Alb,,0.00
Maldives,2003,22528.00,,,,,,73683.00,,60590.00,"Dec+Alb, Alb",,0.82
Myanmar,2003,3607693.00,,383353.00,Dec+Alb,,0.11,9137240.00,,1494172.00,Dec+Alb,,0.16
Nepal,2003,2957933.00,,1477034.00,"Dec+Alb, Alb",,0.50,6740983.00,,563977.00,"Dec+Alb, Alb",,0.08
Sri Lanka,2003,1306395.00,,429202.00,Dec+Alb,,0.33,3172269.00,,1373446.00,Dec+Alb,,0.43
Thailand,2003,3898896.00,,6186.00,Dec+Alb,,0.00,10474661.00,,50107.00,"Dec+Alb, Alb/Mbd",,0.00
TimorLeste,2003,131247.00,,,,,,271901.00,,,,,
American Samoa,2003,9360.00,,2815.00,Dec+Alb,,0.30,16250.00,,7238.00,Dec+Alb,,0.45
Cambodia,2003,1312073.00,,905958.00,Alb/Mbd,,0.69,3619756.00,,2186483.00,Alb/Mbd,,0.60
Cook Islands,2003,1697.00,,783.00,Dec+Alb,,0.46,4240.00,,3001.00,Dec+Alb,,0.71
Fiji,2003,75068.00,,29039.00,Dec+Alb,,0.39,179938.00,,106476.00,Dec+Alb,,0.59
Kiribati,2003,7670.00,,2205.00,Dec+Alb,,0.29,18992.00,,7716.00,Dec+Alb,,0.41
Lao People's Democratic Republic,2003,646396.00,,,,,,1568092.00,,153086.00,Alb/Mbd,,0.10
Marshall Islands,2003,4706.00,,56.00,Dec+Alb,,0.01,11653.00,,196.00,Dec+Alb,,0.02
Micronesia (Federated States of),2003,11436.00,,61.00,Dec+Alb,,0.01,27713.00,,189.00,Dec+Alb,,0.01
Niue,2003,161.00,,83.00,Dec+Alb,,0.52,401.00,,319.00,Dec+Alb,,0.79
Philippines,2003,8239251.00,,1207499.00,"Dec+Alb, Alb/Mbd",,0.15,19706063.00,,2590795.00,"Dec+Alb, Alb/Mbd",,0.13
Samoa,2003,20777.00,,11268.00,Dec+Alb,,0.54,47562.00,,38031.00,Dec+Alb,,0.80
Tonga,2003,10842.00,,6213.00,Dec+Alb,,0.57,24536.00,,22188.00,Dec+Alb,,0.90
Tuvalu,2003,895.00,,474.00,Dec+Alb,,0.53,2235.00,,1816.00,Dec+Alb,,0.81
Vanuatu,2003,23983.00,,14694.00,Dec+Alb,,0.61,53595.00,,40818.00,Dec+Alb,,0.76
Viet Nam,2003,5000000.00,,6305.00,Dec+Alb,,0.00,8000000.00,,144965.00,"Dec+Alb, Alb/Mbd",,0.02
Wallis and Futuna,2003,2160.00,,648.00,Dec+Alb,,0.30,3750.00,,1665.00,Dec+Alb,,0.44
